EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Weight,Label
100014,-999.0,109.412,14.398,17.323,-999.0,-999.0,-999.0,0.472,17.323,62.565,1.774,-0.272,-999.0,22.552,1.389,1.34,40.01300000000001,1.856,1.412,75.197,-1.5830000000000002,198.616,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.15119866823,b
100015,111.026,32.096,75.271,23.067,-999.0,-999.0,-999.0,3.205,23.067,69.649,1.276,-1.414,-999.0,30.606,-1.107,-1.903,39.043,-1.944,1.1909999999999998,19.959,2.415,122.176,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.018636116672,s
100016,114.256,4.351,67.96300000000001,47.221,-999.0,-999.0,-999.0,2.954,26.243,100.93,1.145,0.218,-999.0,30.145,0.484,-0.929,34.522,-0.215,1.941,41.899,2.055,191.568,1,36.26300000000001,-0.7659999999999999,-0.6859999999999999,-999.0,-999.0,-999.0,36.26300000000001,1.4548484726800002,b
100017,127.861,50.953,77.267,26.967,-999.0,-999.0,-999.0,2.833,26.967,79.503,1.586,1.401,-999.0,30.739,-0.635,2.603,48.764,-0.343,-0.862,17.557000000000002,-2.975,211.72,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00150270483101,s
100018,-999.0,85.186,68.827,5.042,-999.0,-999.0,-999.0,2.116,5.042,71.443,1.558,-1.351,-999.0,27.931,1.175,2.356,43.512,2.332,0.584,44.698,-2.033,151.816,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,5.12162357847,b
100019,-999.0,88.76700000000002,115.058,15.337,-999.0,-999.0,-999.0,2.879,15.337,58.21100000000001,0.875,-1.395,-999.0,31.046,1.38,0.451,27.165,-1.486,0.7240000000000001,72.98100000000002,-2.577,115.145,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,5.97935067368,b
100020,-999.0,89.705,41.765,18.437,-999.0,-999.0,-999.0,1.395,18.437,57.157,1.082,-1.178,-999.0,27.453000000000007,1.58,2.51,29.704,0.341,1.869,67.90899999999999,-1.169,225.139,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.19859445131,b
100021,90.736,18.674,60.231,25.156,-999.0,-999.0,-999.0,2.363,25.156,64.833,0.7490000000000001,-0.8,-999.0,37.06,1.537,-2.616,27.773000000000003,1.161,1.335,27.431,0.645,169.06099999999995,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,1.68161144262,b
100022,87.075,38.217,67.041,2.347,-999.0,-999.0,-999.0,2.852,2.347,65.281,1.276,-1.409,-999.0,28.688,1.739,-2.975,36.594,2.367,-0.193,12.556,2.008,68.527,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,4.56936798721,b
100023,141.481,0.736,111.581,174.075,1.955,364.344,-0.923,1.335,6.6629999999999985,440.859,0.652,1.042,0.207,98.565,0.19,-1.506,64.285,1.405,-0.952,17.96,-0.973,454.785,2,195.533,1.156,1.416,82.477,-0.7979999999999999,-2.785,278.009,0.00150270483101,s
100024,110.785,72.92699999999998,82.775,30.888,-999.0,-999.0,-999.0,3.032,30.888,77.888,2.5810000000000004,1.3530000000000002,-999.0,21.751,-0.7090000000000001,-1.088,56.137,0.531,1.679,27.318,-0.716,253.577,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.54166564877,b
100025,76.883,34.384,56.993,5.569,-999.0,-999.0,-999.0,2.912,5.569,58.11600000000001,1.492,-1.409,-999.0,23.319000000000006,-0.081,-0.338,34.797,-0.321,2.564,10.098,-1.3969999999999998,93.086,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,1.68161144262,b
100026,137.197,68.009,78.296,35.332,-999.0,-999.0,-999.0,2.883,0.204,115.081,1.295,1.403,-999.0,34.657,1.587,-2.231,44.897,1.664,1.17,32.07,-2.891,82.22399999999998,1,35.527,4.347,-0.16899999999999998,-999.0,-999.0,-999.0,35.527,0.00150270483101,s
100027,111.271,27.18,70.642,144.766,4.936,1021.322,-5.834,1.795,0.3670000000000001,309.992,2.8480000000000003,1.306,0.696,24.899,-0.08900000000000001,-2.342,70.923,-0.98,-0.7829999999999999,69.36399999999999,-1.173,289.876,2,170.71200000000005,-1.961,2.22,43.458,2.974,-0.103,214.17,0.00150270483101,s
100028,118.104,2.633,77.31,91.388,-999.0,-999.0,-999.0,1.976,21.536,159.743,1.172,1.061,-999.0,37.999,-0.214,-2.678,44.523,-1.354,-1.064,39.141,-1.127,175.843,1,77.221,-0.049,1.426,-999.0,-999.0,-999.0,77.221,0.00150270483101,s
100029,98.761,14.024,74.23,132.806,3.676,315.8540000000001,-2.665,1.261,23.29,239.33,1.541,1.306,0.982,49.624,-1.093,1.995,76.454,-0.595,0.836,26.438,1.15,357.815,2,80.627,0.993,-2.018,32.625,-2.6830000000000003,-1.467,113.252,0.309795155685,b
100030,-999.0,91.316,51.771,33.742,-999.0,-999.0,-999.0,1.3090000000000002,0.8759999999999999,112.809,1.7180000000000002,-1.318,-999.0,29.267,-1.346,-0.333,50.292,-2.443,-1.046,44.15600000000001,2.595,157.431,1,33.25,-3.199,2.057,-999.0,-999.0,-999.0,33.25,2.33194112835,b
100031,121.681,6.041,73.202,198.114,2.639,295.942,-1.7380000000000002,1.148,31.017,412.518,0.262,0.838,0.984,126.071,0.953,2.492,32.986,0.231,-2.899,65.09,-2.769,515.415,3,182.449,1.383,0.001,38.006,-1.257,-0.609,253.461,0.00150270483101,s
100032,129.186,64.045,69.499,63.165,5.087,854.799,-6.159,2.745,6.58,203.08,0.769,1.355,0.82,37.764,0.215,0.74,29.054,-0.575,-2.914,45.253,1.204,199.861,2,81.17,3.102,-0.977,55.092,-1.985,3.065,136.262,0.00150270483101,s
100033,123.112,62.758,86.70200000000001,39.901,3.16,244.181,-2.139,2.825,9.732,184.194,2.089,1.337,0.929,26.075,-0.175,-0.782,54.476000000000006,1.026,2.944,23.618,-1.209,309.43,2,71.127,2.177,0.5579999999999999,32.515,-0.983,-2.628,103.642,1.13515160396,b
100034,156.894,39.256,122.894,71.682,-999.0,-999.0,-999.0,2.387,29.365,148.381,1.11,0.655,-999.0,48.605,-2.123,-3.018,53.933,-0.456,-1.308,10.096,2.9760000000000004,195.864,1,45.843,1.131,1.15,-999.0,-999.0,-999.0,45.843,2.38022399978,b
100035,72.712,20.762,50.255,39.26300000000001,-999.0,-999.0,-999.0,2.186,21.817,103.596,1.269,1.414,-999.0,25.085,-0.251,3.006,31.832,-0.35700000000000004,0.823,12.563,1.915,152.875,1,46.679,-1.711,-1.864,-999.0,-999.0,-999.0,46.679,1.68161144262,b
100036,134.153,23.856,100.96,9.377,-999.0,-999.0,-999.0,2.846,9.377,101.789,0.759,-1.405,-999.0,57.869,-0.428,0.614,43.919,-0.1,-2.842,11.797,-1.739,241.281,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.018636116672,s
100037,155.487,61.072,125.013,2.768,-999.0,-999.0,-999.0,2.908,2.768,123.704,1.176,-1.408,-999.0,56.845,-0.935,2.009,66.859,-1.357,-1.3969999999999998,16.589000000000002,0.923,95.267,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.018636116672,s
100038,138.362,38.034,99.038,65.021,1.814,275.461,1.506,2.605,97.25,403.267,1.875,0.023,0.0,21.326,1.459,-1.615,39.994,-1.133,-1.869,18.093,-0.299,453.69,3,114.602,0.619,0.165,77.053,2.4330000000000003,-2.637,341.94699999999995,0.018636116672,s
100039,120.506,22.729,88.889,35.999,0.218,167.175,5.17,2.465,32.706,294.349,1.4480000000000002,1.171,0.0,39.107,-1.081,1.431,56.61,-1.185,-1.032,2.713,1.29,243.867,3,88.399,-2.168,-1.423,77.27,-2.385,1.876,198.632,0.00265331133733,s
100040,109.684,42.664,86.064,0.23,-999.0,-999.0,-999.0,2.745,0.23,82.944,0.939,-1.414,-999.0,42.787,-1.942,-0.574,40.158,-1.218,2.074,20.195,-2.516,59.902,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.018636116672,s
100041,90.833,62.236,53.228,21.581,-999.0,-999.0,-999.0,2.629,21.581,55.182,1.445,-0.797,-999.0,22.566,1.645,-2.03,32.616,1.287,0.574,29.74,-2.484,70.266,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.04995062035,b
100042,122.516,50.183,87.682,102.403,3.28,479.59,-2.564,1.881,0.731,297.49,0.477,1.025,0.631,77.097,-0.303,-2.694,36.746,-0.758,1.764,27.921,-2.719,275.222,2,98.198,1.995,0.961,85.448,-1.285,-0.995,183.646,0.00150270483101,s
100043,132.049,65.682,87.93700000000003,0.861,-999.0,-999.0,-999.0,2.952,0.861,87.374,1.5419999999999998,-1.3769999999999998,-999.0,34.371,-1.723,-2.546,53.003,-1.181,0.355,21.006,3.141,68.796,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,4.68017265605,b
100044,84.86,33.706,67.847,18.079,-999.0,-999.0,-999.0,2.346,18.079,73.32,1.0759999999999998,-1.367,-999.0,35.311,1.3230000000000002,2.505,38.009,1.526,-1.44,17.651,-0.023,176.82,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.0713571365583,b
100045,27.788,68.032,23.53,33.375,1.37,78.189,3.443,0.78,10.201,132.965,1.3730000000000002,-0.7759999999999999,0.024,26.365,0.664,1.693,36.2,0.6559999999999999,2.474,32.195,-0.498,233.334,2,37.734,2.6630000000000003,-0.491,32.666,1.293,-2.358,70.4,1.91655443992,b
100046,201.473,23.002,104.041,60.49,4.437,491.375,-4.916,2.968,1.786,247.731,0.257,1.408,0.688,102.618,-1.475,2.4090000000000003,26.334,-1.281,-0.913,47.249,-1.577,337.398,2,86.447,-2.142,0.298,32.332,2.295,-2.273,118.779,0.018636116672,s
100047,130.079,53.335,97.435,1.382,-999.0,-999.0,-999.0,3.023,1.382,93.255,1.32,-1.403,-999.0,40.19300000000001,-1.06,-0.659,53.062,-0.374,2.681,14.532,0.104,118.867,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.018636116672,s
100048,167.53400000000005,41.277,123.308,9.909,-999.0,-999.0,-999.0,2.776,9.909,124.886,0.713,-1.406,-999.0,72.92399999999998,-0.14,0.934,51.962,0.266,-2.603,23.577,-1.342,319.578,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,1.7409752852,b
100049,95.407,21.584,67.766,1.482,-999.0,-999.0,-999.0,3.042,1.482,67.89399999999999,1.087,-1.414,-999.0,32.531,0.8009999999999999,1.014,35.363,0.826,-2.227,4.67,-0.233,70.691,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.018636116672,s
100050,219.057,72.461,124.835,5.506,-999.0,-999.0,-999.0,3.771,46.93600000000001,122.986,1.932,-1.382,-999.0,24.759,-1.063,0.332,47.83,1.347,-2.569,28.499,0.96,90.355,1,50.396,-0.708,-0.642,-999.0,-999.0,-999.0,50.396,2.94211761024,b
100051,104.142,37.94,69.029,50.58,3.941,411.8130000000001,-1.86,2.448,4.194,185.688,0.989,1.4069999999999998,0.991,35.311,0.948,-2.167,34.912,1.605,1.758,24.104,-3.099,202.281,2,69.37100000000001,-0.5479999999999999,0.57,46.094,3.392,-1.725,115.465,0.00150270483101,s
100052,-999.0,83.92399999999998,136.15200000000002,40.286,-999.0,-999.0,-999.0,3.111,40.286,67.818,1.884,-0.574,-999.0,23.515,-1.272,-1.525,44.302,1.66,-2.567,41.305,0.183,104.743,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,6.8839427672000015,b
100053,-999.0,98.947,85.40799999999999,1.578,-999.0,-999.0,-999.0,2.5980000000000003,1.578,89.17299999999999,2.074,-1.331,-999.0,29.005,0.16699999999999998,-0.454,60.168,0.918,2.033,42.635,-1.54,146.821,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,5.041468469130001,b
100054,219.292,74.6,177.143,2.423,-999.0,-999.0,-999.0,4.0539999999999985,2.423,71.678,1.841,-1.337,-999.0,25.232,1.099,-2.41,46.447,-2.127,1.419,31.593000000000004,-1.263,106.965,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,6.98825587467,b
100055,51.025,50.315,46.006,1.3030000000000002,-999.0,-999.0,-999.0,2.109,1.3030000000000002,52.149,1.155,-1.411,-999.0,24.198,0.872,-2.822,27.952,0.457,-0.755,28.169,1.469,54.023,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,4.38780746053,b
100056,-999.0,110.686,65.44800000000001,49.395,0.482,24.02,7.901,2.893,26.385,138.2,2.106,-1.393,0.0,21.631,-0.767,-1.6980000000000002,45.54600000000001,-0.107,1.769,73.398,-0.785,185.682,2,40.581,-3.062,2.144,30.442,-2.58,2.396,71.023,2.15593977192,b
100057,148.523,31.911,97.497,171.074,1.209,262.61,-0.067,1.423,20.859,420.089,1.018,0.5579999999999999,0.0,73.982,-1.987,-2.864,75.348,-1.992,-1.4409999999999998,86.93,-1.044,521.36,2,214.449,-0.058,1.525,56.31,1.151,-1.743,270.759,0.00150270483101,s
100058,104.221,13.816,71.225,27.029,-999.0,-999.0,-999.0,2.8360000000000003,27.029,70.783,1.005,1.389,-999.0,35.306,-2.443,-2.9330000000000003,35.478,-2.046,-0.125,17.674,-0.684,149.85,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00150270483101,s
100059,73.819,83.73700000000002,60.659,43.435,1.494,162.191,-0.546,1.5759999999999998,45.807,273.216,2.027,-1.34,0.001,30.0,2.02,-1.803,60.803,1.905,2.908,39.933,0.877,283.314,3,80.042,-0.856,1.304,52.50100000000001,0.638,-1.114,182.413,0.7440562472300001,b
100060,103.646,40.918,64.244,135.726,0.68,73.056,1.649,1.524,18.535,305.027,0.517,1.287,0.959,61.114,-0.595,1.3530000000000002,31.599,-1.398,2.648,59.825,1.668,402.277,3,78.17399999999998,-1.668,-0.978,58.097,-0.989,-1.727,212.314,0.00150270483101,s
100061,122.934,73.141,68.069,4.647,-999.0,-999.0,-999.0,2.992,4.647,74.40899999999998,2.326,-1.361,-999.0,22.375,0.805,-1.579,52.034,0.8140000000000001,1.413,25.922,-1.913,89.71600000000002,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.018636116672,s
100062,139.394,71.611,78.711,28.947,-999.0,-999.0,-999.0,2.945,2.399,110.117,1.594,1.3969999999999998,-999.0,30.409,2.452,-0.472,48.47,1.948,2.4290000000000003,30.839,0.061,162.628,1,31.238000000000003,-2.123,-2.415,-999.0,-999.0,-999.0,31.238000000000003,2.02282887771,b
100063,92.065,65.274,53.52,28.173,-999.0,-999.0,-999.0,2.738,28.173,54.346,1.202,-1.304,-999.0,24.676,-0.828,1.37,29.67,-0.541,-2.19,36.512,0.6920000000000001,84.62100000000002,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,4.3775733904,b
100064,92.696,51.669,68.835,39.384,-999.0,-999.0,-999.0,2.513,15.701,123.58,2.285,1.329,-999.0,23.815,-0.034,3.075,54.41,-0.249,-0.705,16.44,-2.79,215.024,1,45.355,-0.977,1.973,-999.0,-999.0,-999.0,45.355,1.68161144262,b
100065,83.081,63.334,60.631,38.653,-999.0,-999.0,-999.0,2.077,0.91,111.277,1.715,0.08900000000000001,-999.0,26.803,1.979,-3.099,45.97,2.125,-1.027,23.701,2.6860000000000004,214.474,1,38.504,2.526,0.914,-999.0,-999.0,-999.0,38.504,0.991912782017,b
100066,123.715,57.088,81.811,53.612,-999.0,-999.0,-999.0,3.043,53.612,82.428,0.562,1.404,-999.0,52.772,2.2880000000000003,2.793,29.656,1.7480000000000002,-0.495,30.361,-3.01,222.183,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,1.4548484726800002,b
100067,94.229,78.683,69.352,25.679,-999.0,-999.0,-999.0,2.507,25.679,71.80199999999998,1.481,-0.909,-999.0,28.94,1.102,-2.445,42.862,0.519,1.4,36.135,-1.794,218.411,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,4.66794722056,b
100068,88.53200000000002,16.345,50.14,95.309,4.557,580.126,-3.4360000000000004,1.771,34.156,187.654,1.29,1.306,0.585,26.665,-1.2009999999999998,0.175,34.406,-0.344,1.725,52.175,1.337,326.007,2,83.99600000000002,-0.953,-1.5219999999999998,42.588,3.604,-2.122,126.584,0.0713571365583,b
100069,101.675,72.911,49.453,42.633,-999.0,-999.0,-999.0,2.605,42.633,51.687,1.3019999999999998,0.136,-999.0,22.455,1.337,1.183,29.231,1.411,-1.421,46.471,1.425,126.9,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,1.68161144262,b
100070,120.253,30.144,82.176,38.736,3.918,407.579,-3.457,2.551,46.301,243.103,1.017,1.4,0.434,39.923,1.963,0.062,40.602,1.1740000000000002,-2.364,11.126,-0.7879999999999999,337.559,3,59.401,1.342,-0.369,53.71100000000001,-2.577,2.14,162.577,0.00150270483101,s
100071,-999.0,70.619,81.22399999999998,23.097,-999.0,-999.0,-999.0,1.724,23.097,122.205,0.304,-1.178,-999.0,93.741,0.675,0.441,28.464,1.294,2.05,75.369,-2.499,169.293,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00150187015894,s
100072,96.906,71.751,74.602,39.664,-999.0,-999.0,-999.0,2.3480000000000003,14.617,107.103,0.984,-0.875,-999.0,35.66,0.557,-1.4409999999999998,35.076,1.736,2.8110000000000004,36.787,-0.4320000000000001,148.77,1,36.367,-1.891,1.3159999999999998,-999.0,-999.0,-999.0,36.367,2.13327544159,b
100073,92.222,16.05,64.76899999999999,3.422,-999.0,-999.0,-999.0,2.824,3.422,66.94800000000001,0.662,-1.39,-999.0,40.271,-2.097,1.567,26.677,-2.1630000000000003,-1.256,13.736,-2.121,124.752,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.018636116672,s
100074,-999.0,65.71,56.525,1.118,-999.0,-999.0,-999.0,2.012,1.118,66.15100000000001,1.1740000000000002,-1.4069999999999998,-999.0,30.428,1.804,1.0659999999999998,35.723,2.193,-0.908,36.227,3.073,123.357,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,4.38741746703,b
100075,98.597,41.715,78.618,3.375,-999.0,-999.0,-999.0,2.4090000000000003,3.375,86.58,0.62,-1.359,-999.0,53.44300000000001,-0.7140000000000001,1.477,33.137,-0.6679999999999999,-0.932,36.055,-2.228,135.433,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00150187015894,s
100076,239.551,118.683,193.111,6.549,-999.0,-999.0,-999.0,2.857,6.549,181.614,1.246,-1.398,-999.0,80.85300000000002,0.563,-1.877,100.761,1.4,0.855,39.99,-3.012,170.842,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.10839475151,b
100077,86.62899999999998,33.856,67.5,49.081,2.978,229.16,-1.67,1.951,17.799,204.93,1.273,-0.7,0.422,28.542,-0.476,2.9730000000000003,36.328,-2.124,1.929,12.569,0.1,215.393,3,56.951,0.7490000000000001,-0.29600000000000004,42.88,-2.229,-2.825,140.06,0.307169523947,b
100078,132.35,65.858,106.57,124.84,5.822,1558.773,-8.423,1.931,34.787,303.37,3.479,-0.24,0.998,29.167,1.769,1.972,101.483,0.362,-2.989,37.422,-1.862,325.373,2,101.934,3.139,0.444,70.786,-2.6830000000000003,-0.5670000000000001,172.72099999999998,0.00150270483101,s
100079,123.29,52.95399999999999,76.946,129.157,-999.0,-999.0,-999.0,1.769,26.758000000000006,224.796,0.4270000000000001,1.286,-999.0,76.021,0.184,-1.902,32.459,0.083,2.615,52.567,-2.277,273.452,1,116.316,-1.171,0.6409999999999999,-999.0,-999.0,-999.0,116.316,0.00265331133733,s
100080,84.60799999999998,50.05,63.451,0.6579999999999999,-999.0,-999.0,-999.0,2.9610000000000003,0.6579999999999999,57.911,1.655,-1.375,-999.0,21.816,2.445,-0.5670000000000001,36.095,1.3769999999999998,2.954,18.405,0.29600000000000004,29.742,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,5.09924550525,b
100081,-999.0,65.312,50.047,0.515,-999.0,-999.0,-999.0,2.13,74.884,132.893,1.709,-1.372,-999.0,21.429,0.266,-0.062,36.62300000000001,0.718,2.02,32.276,-1.758,32.944,1,74.84100000000002,0.616,-1.564,-999.0,-999.0,-999.0,74.84100000000002,1.68161144262,b
100082,166.64,15.868,80.477,77.915,1.575,215.121,-0.544,2.8710000000000004,28.035,410.568,0.691,1.31,0.159,39.441,-0.64,-2.622,27.269,0.7929999999999999,1.1740000000000002,69.34,1.541,453.141,3,85.39200000000002,-1.062,0.166,81.559,0.513,-2.255,343.858,0.00150270483101,s
100083,145.99,68.862,97.342,28.538,4.664,396.915,-5.149,3.088,24.909,174.47,2.139,1.41,0.677,31.234,-0.185,2.945,66.796,-0.917,-0.056,20.804,2.299,198.904,2,39.577,2.8710000000000004,-2.316,36.863,-1.793,1.295,76.44,1.08294034035,b
100084,99.668,25.986,60.637,192.267,1.048,231.346,-0.273,1.405,37.955,435.679,3.282,0.677,0.475,23.845,-0.56,1.128,78.248,0.418,0.119,105.389,-0.168,392.838,3,176.49,-0.5579999999999999,2.664,73.566,0.49,-1.616,333.586,0.358539992008,b
100085,-999.0,71.692,52.779,2.705,-999.0,-999.0,-999.0,1.985,2.705,50.75100000000001,1.533,-1.349,-999.0,20.039,-0.33,-2.6060000000000003,30.712,-1.988,-1.514,43.206,1.27,72.211,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,5.571711624680001,b
100086,199.9,78.686,167.085,77.236,-999.0,-999.0,-999.0,2.934,17.233,172.545,1.785,-0.112,-999.0,30.651,-0.735,0.131,54.69600000000001,2.1830000000000003,0.439,43.135,2.327,277.402,1,87.198,-2.031,-2.452,-999.0,-999.0,-999.0,87.198,3.08093077511,b
